id,phase,use
1,Grt1,TRUE
2,Grt2,TRUE
3,Grt3,TRUE
4,Grt4,TRUE
5,Grt5,TRUE
6,Grt6,TRUE
7,Grt7,TRUE
8,Grt8,TRUE
9,Grt9,TRUE
10,Grt10,TRUE
11,Grt11,TRUE
12,Grt12,TRUE
13,Grt13,TRUE
14,Grt14,TRUE
15,Grt15,TRUE
16,Grt16,TRUE
17,Grt17,TRUE
18,Grt18,TRUE
19,Grt19,TRUE
20,Grt20,TRUE
21,Grt21,TRUE
22,Grt22,TRUE
23,Grt23,TRUE
24,Grt24,TRUE
25,Grt25,TRUE
26,Grt26,TRUE
27,Grt27,TRUE
28,Grt28,TRUE
29,Grt29,TRUE
30,Grt30,TRUE
31,Grt31,TRUE
32,Grt32,TRUE
33,Grt33,TRUE
34,Grt34,TRUE
35,Grt35,TRUE
36,Grt36,TRUE
37,Grt37,TRUE
38,Grt38,TRUE
39,Grt39,TRUE
40,Grt40,TRUE
41,Grt41,TRUE
42,Grt42,TRUE
43,Grt43,TRUE
44,Grt44,TRUE
45,Grt45,TRUE
46,Grt46,TRUE
47,Grt47,TRUE
48,Grt48,TRUE
49,Grt49,TRUE
50,Grt50,TRUE
51,Grt51,TRUE
52,Grt52,TRUE
53,Grt53,TRUE
